from	to
GO:0035150	GO:0008015
GO:0032989	GO:0030017
GO:0032989	GO:0032535
GO:0032989	GO:0008092
GO:0032989	GO:0055002
GO:0032989	GO:0032990
GO:0032989	GO:0051146
GO:0032989	GO:0048667
GO:0032989	GO:0030029
GO:0019953	GO:0030141
GO:0019953	GO:0032504
GO:0019953	GO:0008083
GO:0019953	GO:0044421
GO:0019953	GO:0016023
GO:0005506	GO:0019825
GO:0006357	GO:0031328
GO:0006357	GO:0051173
GO:0003018	GO:0008015
GO:0031328	GO:0051173
GO:0008406	GO:0009719
GO:0008406	GO:0042995
GO:0055002	GO:0030029
GO:0055002	GO:0030017
GO:0055002	GO:0051146
GO:0055002	GO:0009719
GO:0055002	GO:0008092
GO:0042995	GO:0070161
GO:0042995	GO:0009719
GO:0042995	GO:0050804
GO:0042995	GO:0032504
GO:0042995	GO:0044459
GO:0016023	GO:0044421
GO:0016023	GO:0050804
GO:0016023	GO:0030141
GO:0016023	GO:0032504
GO:0016023	GO:0008083
GO:0008233	GO:0005578
GO:0008233	GO:0044421
GO:0048667	GO:0032990
GO:0048667	GO:0032535
GO:0008092	GO:0051146
GO:0008092	GO:0030017
GO:0008092	GO:0070161
GO:0008092	GO:0030029
GO:0008092	GO:0044459
GO:0009628	GO:0051384
GO:0009628	GO:0009719
GO:0009628	GO:0031960
GO:0009628	GO:0000302
GO:0008083	GO:0044421
GO:0008083	GO:0032504
GO:0008083	GO:0030141
GO:0005578	GO:0044421
GO:0050804	GO:0032504
GO:0050804	GO:0009719
GO:0050804	GO:0044459
GO:0030029	GO:0030017
GO:0030029	GO:0051146
GO:0031960	GO:0009719
GO:0031960	GO:0051384
GO:0031960	GO:0000302
GO:0032535	GO:0044421
GO:0032535	GO:0032990
GO:0032504	GO:0044421
GO:0032504	GO:0030141
GO:0032504	GO:0009719
GO:0030141	GO:0044421
GO:0030017	GO:0051146
GO:0009719	GO:0051384
GO:0009719	GO:0051146
GO:0009719	GO:0000302
GO:0009719	GO:0070161
GO:0044459	GO:0070161
GO:0000302	GO:0051384
