from	to
Q9XTL9	Q9W2H8
P55035	Q7JYK1
P55035	Q9VRP3
P55035	Q9VW54
P55035	Q9V436
P55035	O18413
P55035	Q9V405
Q9V7N5	Q27331
Q9V7N5	Q24583
Q9V7N5	P31409
Q9V7N5	Q9V3J1
Q9V7N5	Q9V7D2
Q9V7N5	P48602
Q9V7N5	P54611
Q01604	P07764
Q01604	Q9XTL9
Q01604	Q9VAN7
Q01604	P52029
Q01604	P07486
Q01604	P29613
Q01604	P07487
Q01604	P15007
Q01604	O62619
Q9W1N3	Q9W402
Q9W1N3	O97418
Q9W1N3	Q7JYH3
Q9W1N3	Q0E8X7
P04359	Q9VGS2
P04359	Q9VFE4
P04359	P50887
P04359	P48149
P04359	Q9VBH8
P04359	Q9VWG3
P04359	Q9VHE5
P04359	Q9VBU9
P04359	Q9W1B9
P04359	Q9W237
P04359	P55828
P04359	Q9VS34
P04359	Q95RG1
P04359	P38979
P04359	Q24154
P04359	Q95TP9
P04359	P09180
P04359	Q8IGR0
P04359	P48159
P04359	Q06559
P04359	Q9VZS5
P04359	P39018
P04359	P55841
P04359	O76927
P04359	Q9V3G1
P04359	P36241
P04359	O16797
P04359	P13008
P04359	Q9VTP4
P04359	Q9W229
P04359	P31009
P04359	P80455
P04359	P41126
P04359	P48588
P04359	P17704
P04359	Q9W0A8
P04359	Q7JYK1
Q94514	Q9VTB4
Q94514	Q9VVG5
Q94514	O97418
Q94514	Q9VX36
Q94514	Q9VMU0
Q94514	Q9W402
Q94514	Q9W125
Q94514	Q9W141
Q94514	Q9VWI0
Q94514	Q9VPE2
Q94514	Q9VRL0
Q94514	Q9VGS3
Q94514	Q7JYH3
Q94514	Q9V3W2
Q94514	Q9VZU4
Q94514	Q94516
Q94514	Q9VQ29
Q94514	Q9VXI6
Q94514	Q9VV75
Q94514	Q9VMB9
Q94514	Q9VIQ8
Q94514	Q9VWD1
Q94514	Q9W1N3
Q9VGS3	Q9VV75
Q9VGS3	Q9VVG5
Q9VGS3	Q9W402
Q9VGS3	Q9W141
Q9VGS3	Q9VWI0
Q9VGS3	Q94516
Q9VGS3	O97418
Q9VGS3	Q9VX36
Q9VGS3	Q9VXI6
Q9VGS3	Q7JYH3
Q9VGS3	Q9VTB4
Q9VGS3	Q9VIQ8
Q9VGS3	Q9VMB9
Q9VGS3	Q9W125
Q9VGS3	Q9VZU4
Q9VGS3	Q9W1N3
Q9VBH8	Q9VFE4
Q9VBH8	Q9VWG3
Q9VBH8	P50887
Q9VBH8	P48149
Q9VBH8	Q9VTP4
Q9VBH8	P39018
Q9VBH8	Q95TP9
Q9VBH8	Q9VZS5
Q9VBH8	P38979
Q9VBH8	O16797
Q9VBH8	P48588
Q9VBH8	Q8IGR0
Q9VBH8	P13008
Q9VBH8	P48159
Q9VBH8	P80455
Q9VBH8	Q9W0A8
Q9VBH8	Q95RG1
Q9VBH8	O76927
Q9VBH8	P55841
Q9VBH8	Q9VBU9
Q9VBH8	Q7JYK1
Q9VBH8	Q06559
Q9VBH8	Q9W1B9
Q9VBH8	P31009
Q9VBH8	P41126
Q9VBH8	P55828
Q9VBH8	Q9VS34
Q9VBH8	Q9W237
Q9VBH8	Q9V3G1
Q9VBH8	Q9W229
Q9VBH8	P36241
Q9VBH8	P17704
Q9VBH8	Q24154
Q9VTP4	P48149
Q9VTP4	P50887
Q9VTP4	Q9VZS5
Q9VTP4	Q9VWG3
Q9VTP4	Q95TP9
Q9VTP4	P80455
Q9VTP4	Q9W0A8
Q9VTP4	Q9V3G1
Q9VTP4	P36241
Q9VTP4	P48159
Q9VTP4	Q9W237
Q9VTP4	Q9W1B9
Q9VTP4	Q9W229
Q9VTP4	P38979
Q9VTP4	P39018
Q9VTP4	Q24154
Q9V397	Q9W1H8
Q9W3L4	Q59E23
Q9VRL0	Q9W402
Q9VRL0	Q94511
Q9VRL0	Q9VXK7
Q9VRL0	Q9VX36
Q9VRL0	Q9VWD1
Q9VRL0	Q94516
Q9VRL0	Q9W1N3
Q9VRL0	Q9VWI0
Q9VRL0	Q9W125
Q9VRL0	Q9VZU4
Q9VRL0	Q9VXI6
Q9VRL0	Q9VV75
Q7KN94	Q7JR58
Q7KN94	Q0KHZ6
Q7JR58	O18404
P07486	Q9VUY9
P07486	Q9XTL9
P07486	Q9VKX2
P07486	P52029
P07486	O01666
P07486	Q9VAN7
P07486	Q9VEB1
P07486	P07487
P07486	P29613
P07486	P15007
P07486	O62619
Q9VV75	P35381
Q9VV75	Q9VZU4
Q9VV75	Q9VWI0
Q9VV75	Q9VX36
Q9VV75	Q9W1N3
Q9VV75	Q9VVL7
Q9VV75	Q94511
Q9VV75	Q9VXI6
Q9VXK7	Q94511
Q9VXK7	O97418
Q9VXK7	Q9W125
Q9VXK7	Q7JYH3
Q9VXK7	Q9W402
Q9VXK7	Q9VZU4
Q94516	Q9VZU4
Q94516	Q9VXI6
Q94516	Q9W125
Q94516	Q9VWI0
Q94516	Q9VX36
Q94516	Q9VXK7
Q94516	Q9VV75
Q94516	Q9VXN2
Q94516	P35381
Q94516	Q9W141
Q94516	Q9W1N3
O17445	Q94518
O17445	P05303
O17445	O02195
O17445	Q9VFE4
O17445	Q9VGS2
O17445	Q9VHE5
O17445	Q9VBH8
O17445	P48149
O17445	Q9NJH0
O17445	P55828
O17445	Q9VTP4
O17445	Q95RG1
O17445	Q7JYK1
O17445	P05389
O17445	Q9V9W3
O17445	Q9VZS5
O17445	P55841
O17445	Q0E9B6
O17445	P80455
O17445	Q24154
O17445	Q9W5N2
O17445	P50887
O17445	Q95TP9
O17445	Q8T3U2
O17445	Q8MLY8
O17445	O76927
O17445	P41093
O17445	Q9VWG3
O17445	Q06559
O17445	Q9W229
O17445	P13008
O17445	Q9VS34
O17445	Q9W237
O17445	P09180
O17445	Q9VA91
O17445	P46222
O17445	Q9W0A8
O17445	P31009
O17445	P41094
O17445	O16797
O17445	P48159
O17445	Q9V597
O17445	P41126
O17445	Q8IGR0
O17445	Q7KR04
O17445	P17704
O17445	P48588
O17445	P04359
O17445	P38979
O17445	P55830
O17445	Q9VBU9
O17445	P39018
O17445	P36241
O17445	Q9GU68
O17445	Q9V3G1
O17445	Q9VJ19
O17445	Q9W1B9
O17445	Q7JZW2
Q9V3W2	Q94511
Q9V3W2	Q94516
Q9V3W2	Q9VMB9
Q9V3W2	Q9VMU0
Q9V3W2	Q9W1N3
Q9V3W2	Q9VPE2
Q9V3W2	O97418
Q9V3W2	Q9VX36
Q9V3W2	Q9VTB4
Q9V3W2	Q9W402
Q9V3W2	Q9VZU4
Q9V3W2	Q7JYH3
Q9V3W2	Q9VWI0
Q9V3W2	Q9W125
Q9VKX2	P15007
Q9VKX2	Q9VUY9
O62530	Q24253
O62530	Q9VDC3
P41126	O02195
P41126	Q9GU68
P41126	P48149
P41126	P50887
P41126	Q9VWG3
P41126	Q9VZS5
P41126	P80455
P41126	Q7JYK1
P41126	Q24154
P41126	P38979
P41126	Q9V3G1
P41126	Q9VTP4
P41126	P55841
P41126	Q9VS34
P41126	Q95TP9
P41126	Q95RG1
P41126	Q9W237
P41126	Q9W229
P41126	P36241
P41126	P17704
P41126	P48159
P41126	Q9W0A8
P41126	O76927
P41126	P39018
P41126	Q9W1B9
Q53YH3	Q9V438
Q9VFC7	C0HK92
Q9VFC7	P05661
Q9VFC7	P36188
Q9VFC7	P35416
Q9VHE5	P50887
Q9VHE5	P48149
Q9VHE5	Q8IGR0
Q9VHE5	P31009
Q9VHE5	Q95TP9
Q9VHE5	P80455
Q9VHE5	Q9VZS5
Q9VHE5	Q95RG1
Q9VHE5	P13008
Q9VHE5	Q9W0A8
Q9VHE5	P48159
Q9VHE5	Q7JYK1
Q9VHE5	Q9VWG3
Q9VHE5	P55841
Q9VHE5	Q9W1B9
Q9VHE5	O76927
Q9VHE5	Q9W237
Q9VHE5	Q9VTP4
Q9VHE5	Q9W229
Q9VHE5	P39018
Q9VHE5	P36241
Q9VHE5	Q9VS34
Q9VHE5	P38979
Q9VHE5	P41126
Q9VHE5	P17704
Q9VHE5	Q24154
Q9VHE5	Q9V3G1
Q8STA5	Q9W1N3
Q9VZS5	P50887
Q9VZS5	Q9W229
Q9VZS5	Q9V3G1
Q9VZS5	P38979
Q9VZS5	Q9W0A8
Q9VZS5	Q24154
Q9VZS5	P48159
Q9VZS5	Q9W237
Q9VZS5	Q9W1B9
Q9VZS5	Q95TP9
Q9VZS5	P36241
Q0KHZ6	O18404
P35416	P53501
P35416	P18091
P35416	P36188
P07764	P29613
P07764	P52029
P07764	P15007
P07764	P07486
P07764	P07487
P07764	Q9VAN7
P07764	Q9VUY9
P07764	O62619
P07764	Q9XTL9
Q9VGA0	Q9VG96
Q9VIQ8	Q9W402
Q9VIQ8	Q9W141
Q9VIQ8	Q9VXI6
Q9VIQ8	Q9VQ29
Q9VIQ8	Q9VZU4
Q9VIQ8	Q9VRL0
Q9VIQ8	Q94516
Q9VIQ8	Q9VMB9
Q9VIQ8	Q9W1N3
Q9VIQ8	Q9VWD1
Q27331	P54611
Q27331	Q9W4P5
Q24407	Q9VVG5
Q24407	Q9VMU0
Q24407	Q500Y7
Q24407	Q9VIQ8
Q24407	Q9XY35
Q24407	Q94514
Q24407	Q9VQD7
Q24407	O01666
Q24407	Q9VXI6
Q24407	Q9VWI0
Q24407	Q9VMS1
Q24407	Q9VTB4
Q24407	Q9VMB9
Q24407	Q9VXN2
Q24407	P35381
Q24407	O77134
Q24407	Q9W2X6
Q24407	Q24439
Q24407	Q7JZK1
Q24407	Q9VKM3
Q24407	Q9W1N3
Q24407	Q9W141
Q24407	Q24251
Q24407	Q94516
P55830	O02195
P55830	Q9U9Q4
P55830	Q7JVI3
P55830	Q0E940
P55830	P05303
P55830	Q9NJH0
P55830	Q9GU68
P55830	Q9VFE4
P55830	Q9VHE5
P55830	Q9VWG3
P55830	Q7KR04
P55830	P48149
P55830	Q9VBH8
P55830	P50887
P55830	Q9VGS2
P55830	P39018
P55830	Q8T3U2
P55830	O76927
P55830	P41126
P55830	P46222
P55830	Q95TP9
P55830	P38979
P55830	Q9W0A8
P55830	Q9VZS5
P55830	Q0E9B6
P55830	P41093
P55830	P41094
P55830	P48159
P55830	P36241
P55830	P05389
P55830	Q9VA91
P55830	Q9W1B9
P55830	Q06559
P55830	P80455
P55830	Q9VTP4
P55830	P55828
P55830	Q9VBU9
P55830	P13008
P55830	Q9V3G1
P55830	Q9VJ19
P55830	P09180
P55830	Q9W237
P55830	Q9V597
P55830	Q24154
P55830	P55841
P55830	P48588
P55830	Q9W5N2
P55830	Q7JZW2
P55830	Q7JYK1
P55830	O16797
P55830	P31009
P55830	Q9V9W3
P55830	P17704
P55830	Q95RG1
P55830	Q9W229
P55830	Q9VS34
P55830	P04359
P55830	Q8MLY8
P55830	Q8IGR0
Q9VSR5	Q9W1B9
Q9VSR5	Q9W0A8
Q9VSR5	P48159
Q9V4E0	O01666
Q9V4E0	Q9VFF0
Q9V4E0	Q9VF27
