Source	Target
BicD	cpb
BicD	cpa
BicD	Dlic
DnaJ-H	CG2918
DnaJ-H	Hsc70-3
DnaJ-H	Hop
mRpS34	CG4882
mRpS34	bonsai
CadN	alpha-Cat
CadN	arm
vig	RpS15Aa
vig	RpS13
vig	RpS16
vig	RpS17
vig	RpL12
Tudor-SN	bel
Tudor-SN	AGO1
Tudor-SN	Fmr1
Tudor-SN	vig
Mdh2	Aldh
Mdh2	ND-51
Mdh2	COX4
Mdh2	Cyt-c-p
Mdh2	COX5A
Mdh2	Men
Mdh2	Eno
Cyt-c-p	Cat
Cyt-c-p	porin
Cyt-c-p	ND-PDSW
Cyt-c-p	COX6B
Aldh	Cat
Aldh	Eno
Aldh	CG12262
Aldh	AcCoAS
CG15093	CG12262
CG15093	AcCoAS
CG15093	CG3902
CG15093	Aldh
CG4679	mRpS34
CG4679	bsf
CG4679	CG4882
CG4679	mRpL12
CG4679	mRpL44
CG4679	bonsai
CG4679	mRpS10
CG4679	mRpS23
CG4679	mRpS22
CG4679	mRpS9
CG4679	mRpS18B
SF2	CG10777
SF2	CG10077
SF2	U2A
SF2	Tango4
SF2	yps
SF2	Prp8
SF2	Rbp9
SF2	CG16941
SF2	Srp54
SF2	Ref1
SF2	LS2
SF2	mago
SF2	Hrb98DE
p47	CG8209
p47	Ufd1-like
p47	Rpt2
Rad23	me31B
Rad23	Uch-L5
Rad23	Rpt1
Rad23	HDAC6
Rad23	Usp5
Rad23	Uba2
Rad23	Ufd1-like
Rad23	Sgt
Rad23	Rpt5
Rad23	Bap55
Rad23	pont
Rad23	CG8209
Rad23	Iswi
Rad23	Rpn13
Rad23	Ubqn
Rad23	smt3
Rad23	Rpt2
Rad23	TER94
me31B	poe
me31B	CG2091
me31B	yps
ND-51L1	ND-51
ND-51L1	NP15.6
ND-51L1	ND-PDSW
ND-51L1	ND-B16.6
syd	alpha-Cat
syd	Dlic
syd	Klc
Arr2	Ubqn
Arr2	CG32683
Arr1	ninaC
Arr1	chp
Arr1	KP78a
Arr1	LpR2
Arr1	Ubqn
Arr1	CG32683
Arr1	par-1
Arr1	Hrs
Arr1	lqf
Arr1	Rab5
Arr1	Arr2
ND-51	ND-B16.6
ND-51	ND-PDSW
CG16941	yps
CG16941	mago
CG16941	CG10777
CG16941	CG10077
CG16941	Srp54
CG16941	LS2
CG16941	Tango4
Cnx99A	Ost48
Cnx99A	Hsp70Ab
Cnx99A	CG2918
Cnx99A	Ugt
Cnx99A	Gp93
Cnx99A	Pdi
Cnx99A	Hsc70-3
Cnx99A	ERp60
Aats-his	Aats-asp
Aats-his	Cct5
Aats-his	Aats-arg
Aats-his	Aats-val
Aats-his	CG33123
Aats-his	Aats-ile
mRpS35	RpS2
mRpS35	CG4882
mRpS35	mRpL12
mRpS35	mRpS34
mRpS35	mRpL44
mRpS35	CG4679
mRpS35	mRpS23
mRpS35	mRpS18B
mRpS35	mRpS10
mRpS35	mRpS9
mRpS35	mRpS22
mRpS35	bonsai
mRpS35	mRpS5
Vha68-2	sun
Vha68-2	Eno
Vha100-2	sun
Vha100-2	Vha68-2
Rac1	sqh
Rac1	Fmr1
Rac1	tsr
Rac1	Dscam2
Rac1	Gdi
Rac1	Abl
Rac1	dock
Rac1	zip
Rac1	RhoGDI
mRpS7	ade3
mRpS7	CG9769
mRpS7	CG4882
mRpS7	eIF3-S8
mRpS7	Srp19
mRpS7	EfTuM
mRpS7	eIF3-S10
mRpS7	eIF-2gamma
mRpS7	Srp54k
mRpS7	eRF1
mRpS7	Tango7
mRpS7	RpLP2
mRpS7	eIF3-S9
mRpS7	RpL4
mRpS7	RpS10a
mRpS7	RpS12
mRpS7	RpS10b
mRpS7	CG7048
mRpS7	RpS15Ab
mRpS7	RpS15Aa
mRpS7	RpL10Ab
mRpS7	RpS14a
mRpS7	RpL18A
mRpS7	Rack1
mRpS7	RpS4
mRpS7	RpS17
mRpS7	RpL13
mRpS7	RpS7
mRpS7	RpS6
mRpS7	RpS8
mRpS7	RpS16
mRpS7	sta
mRpS7	RpS13
mRpS7	RpL3
mRpS7	RpS23
mRpS7	RpS27
mRpS7	RpL12
mRpS7	RpS18
mRpS7	RpS3A
mRpS7	RpS2
mRpS7	RpS3
mRpS7	RpS11
mRpS7	RpL11
mRpS7	RpL30
mRpS7	mRpL44
mRpS7	mRpS22
mRpS7	mRpS34
mRpS7	CG4679
mRpS7	mRpS23
mRpS7	bonsai
mRpS7	mRpS10
mRpS7	mRpS35
mRpS7	mRpL12
mRpS7	mRpS18B
mRpS7	mRpS9
mRpS7	mRpS5
Prp8	yps
Prp8	Srp54
Prp8	CG10777
Prp8	CG10077
Prp8	LS2
Prp8	mago
Prp8	Hrb98DE
Prp8	CG16941
Prp8	Tango4
pont	Tcp-1zeta
pont	Tcp-1eta
pont	Rpt6
pont	Uch-L5
mRpL44	mRpS34
mRpL44	mRpL12
mRpL44	bonsai
mRpS22	CG4882
mRpS22	mRpL12
mRpS22	mRpS10
mRpS22	mRpL44
mRpS22	mRpS34
mRpS22	mRpS23
mRpS22	bonsai
mRpS22	mRpS18B
mRpS22	mRpS9
Cp1	Ect3
Cp1	PyK
Cp1	Rpn5
Cp1	CG6891
Cp1	CalpB
Cp1	Rpn6
Cp1	Cat
Cp1	Rpt5
cathD	CG4572
cathD	CG6891
cathD	PyK
cathD	CG8258
cathD	Ect3
cathD	Pfk
cathD	Rpn5
cathD	CalpB
cathD	Rpt5
cathD	Rpn6
cathD	Cat
