Source	Target
RpS18	Rpt6R
RpS18	Rpt6
RpS18	Tcp-1eta
RpS18	Rpt2
RpS18	vig
RpS18	ade3
RpS18	Srp72
RpS18	mago
RpS18	bonsai
RpS18	Tctp
RpS18	CG5642
RpS18	mRpL12
RpS18	mRpS10
RpS18	mRpS9
RpS18	eIF3-S10
RpS18	CG9769
RpS18	Srp19
RpS18	Srp54k
RpS18	Trip1
RpS18	RpS12
RpS18	RpS2
RpS18	RpS16
RpS18	sta
RpS18	RpL10Ab
RpS18	RpL4
RpS18	RpS14a
RpS18	RpS17
RpS18	RpS3
RpS18	RpS4
RpS18	RpL3
RpS18	RpS10a
RpS18	RpS13
RpS18	RpS10b
RpS18	RpL13
RpS18	RpL12
RpS18	RpS15Aa
RpS18	RpS6
RpS18	RpS27
RpS10b	bonsai
RpS10b	mago
RpS10b	RpS15Aa
RpS10b	RpS16
RpS10b	RpS14a
RpS10b	RpL12
RpS10b	sta
RpS10b	RpS6
RpS3A	CG7048
RpS3A	Nacalpha
RpS3A	vig
RpS3A	eEF1delta
RpS3A	Cct5
RpS3A	CG8258
RpS3A	CG7033
RpS3A	Tcp-1eta
RpS3A	Srp72
RpS3A	mRpS5
RpS3A	Rbp2
RpS3A	mRpS10
RpS3A	eIF4G
RpS3A	bonsai
RpS3A	mago
RpS3A	CG5642
RpS3A	eIF-3p66
RpS3A	eIF3-S8
RpS3A	Srp54k
RpS3A	eIF3-S10
RpS3A	Srp19
RpS3A	CG9769
RpS3A	ade3
RpS3A	Trip1
RpS3A	Tango7
RpS3A	eIF3-S9
RpS3A	Tctp
RpS3A	RpS12
RpS3A	RpS13
RpS3A	RpS2
RpS3A	RpS17
RpS3A	RpS15Ab
RpS3A	RpL13
RpS3A	RpS15Aa
RpS3A	RpS8
RpS3A	RpS10a
RpS3A	RpS4
RpS3A	RpL11
RpS3A	RpS23
RpS3A	RpS7
RpS3A	RpLP2
RpS3A	sta
RpS3A	RpS6
RpS3A	RpL12
RpS3A	RpS11
RpS3A	RpL30
RpS3A	RpL3
RpS3A	RpS3
RpS3A	RpS14a
RpS3A	RpL10Ab
RpS3A	RpL18A
RpS3A	RpS27
RpS3A	RpL4
RpS3A	RpS16
RpS3A	RpS18
RpS3A	RpS10b
RpS16	mago
RpS16	RpS14a
RpS16	RpS6
RpS16	sta
RpS15Ab	vig
RpS15Ab	CG9769
RpS15Ab	ade3
RpS15Ab	EfTuM
RpS15Ab	Srp19
RpS15Ab	eIF3-S9
RpS15Ab	eIF3-S10
RpS15Ab	eIF3-S8
RpS15Ab	bonsai
RpS15Ab	mRpS10
RpS15Ab	Srp54k
RpS15Ab	Tango7
RpS15Ab	Tctp
RpS15Ab	mRpS9
RpS15Ab	mRpL12
RpS15Ab	RpS15Aa
RpS15Ab	RpS12
RpS15Ab	RpL10Ab
RpS15Ab	RpL13
RpS15Ab	RpL18A
RpS15Ab	RpL12
RpS15Ab	RpL3
RpS15Ab	RpL4
RpS15Ab	RpS10a
RpS15Ab	RpL11
RpS15Ab	RpS6
RpS15Ab	RpS2
RpS15Ab	RpS13
RpS15Ab	RpS23
RpS15Ab	RpS18
RpS15Ab	RpS3
RpS15Ab	RpS10b
RpS15Ab	RpS17
RpS15Ab	RpS14a
RpS15Ab	sta
RpS15Ab	RpS11
RpS15Ab	RpS27
RpS15Ab	RpS4
RpS15Ab	RpS16
RpL3	eEF1delta
RpL3	bonsai
RpL3	Tcp-1zeta
RpL3	Tcp-1eta
RpL3	CG7033
RpL3	Tctp
RpL3	mago
RpL3	Srp19
RpL3	mRpL12
RpL3	mRpS9
RpL3	eIF3-S10
RpL3	CG10576
RpL3	CG5642
RpL3	CG9769
RpL3	Srp54k
RpL3	Trip1
RpL3	ade3
RpL3	RpS14a
RpL3	RpS10b
RpL3	RpS15Aa
RpL3	RpS13
RpL3	RpS16
RpL3	RpS2
RpL3	RpS4
RpL3	RpS17
RpL3	sta
RpL3	RpL12
RpL3	RpL13
RpL3	RpL10Ab
RpL3	RpS12
RpL3	RpS6
Tcp-1zeta	Tim9a
Tcp-1zeta	RpL12
Tcp-1zeta	Hsp60
Tcp-1zeta	sta
Tcp-1zeta	CG7033
T-cp1	RpS13
T-cp1	RpS2
T-cp1	RpL13
T-cp1	Hop
T-cp1	sta
T-cp1	RpL12
T-cp1	Aats-ile
T-cp1	RpS4
T-cp1	RpL3
T-cp1	CG10576
T-cp1	CG7033
T-cp1	Cctgamma
T-cp1	Tcp-1eta
T-cp1	Tcp-1zeta
RpS3	Tcp-1zeta
RpS3	vig
RpS3	CG7033
RpS3	eEF1delta
RpS3	ade3
RpS3	Tcp-1eta
RpS3	Srp72
RpS3	mago
RpS3	bonsai
RpS3	mRpS10
RpS3	mRpS9
RpS3	mRpL12
RpS3	Srp19
RpS3	CG5642
RpS3	Srp54k
RpS3	CG9769
RpS3	Tctp
RpS3	eIF3-S10
RpS3	RpS15Aa
RpS3	RpL13
RpS3	RpS6
RpS3	RpS2
RpS3	RpL12
RpS3	RpL10Ab
RpS3	RpS14a
RpS3	RpS12
RpS3	RpS13
RpS3	RpS16
RpS3	RpS10b
RpS3	sta
RpS3	RpS4
RpS3	RpL3
RpS3	RpS17
RpS3	Trip1
RpL26	CG10576
RpL26	eEF1delta
RpL26	EfTuM
RpL26	Nacalpha
RpL26	bonsai
RpL26	ade3
RpL26	mRpS10
RpL26	mRpS5
RpL26	Tctp
RpL26	eIF4G
RpL26	CG5642
RpL26	mago
RpL26	eIF3-S10
RpL26	Rbp2
RpL26	mRpS9
RpL26	eIF3-S9
RpL26	mRpL12
RpL26	eIF-3p66
RpL26	eIF3-S8
RpL26	Srp72
RpL26	eIF-2gamma
RpL26	mRpS7
RpL26	CG9769
RpL26	Elf
RpL26	Tango7
RpL26	Trip1
RpL26	Ef1beta
RpL26	Srp19
RpL26	eRF1
RpL26	Srp54k
RpL26	RpS15Aa
RpL26	RpS15Ab
RpL26	RpL10Ab
RpL26	RpL11
RpL26	RpL3
RpL26	RpS13
RpL26	RpS2
RpL26	RpS6
RpL26	RpS4
RpL26	RpS27
RpL26	RpL30
RpL26	RpL18A
RpL26	RpS12
RpL26	RpS10a
RpL26	RpS18
RpL26	RpS3A
RpL26	RpS8
RpL26	RpS17
RpL26	sta
RpL26	RpS14a
RpL26	RpS11
RpL26	RpS23
RpL26	RpL13
RpL26	RpL12
RpL26	RpS10b
RpL26	Rack1
RpL26	RpL4
RpL26	RpS3
RpL26	RpS7
RpL26	RpS16
RpL26	RpLP2
RpS12	mago
RpS12	RpS14a
RpS12	RpS15Aa
RpS12	RpS10b
RpS12	RpS6
RpS12	RpS16
RpS12	RpL12
RpS12	sta
CG5642	RpL12
CG5642	RpS6
CG5642	sta
CG5642	RpS10b
CG5642	RpS12
CG5642	RpS16
CG5642	RpS4
CG9769	RpS15Aa
CG9769	RpS17
CG9769	RpS12
CG9769	RpL12
CG9769	RpS10b
CG9769	RpL10Ab
CG9769	RpS4
CG9769	sta
CG9769	RpS6
CG9769	RpS16
CG9769	CG5642
CG7033	RpS14a
CG7033	sta
Cct5	RpS13
Cct5	ade3
Cct5	Prosalpha6
Cct5	Hsc70-5
Cct5	Rpt6
Cct5	RpS3
Cct5	Ref1
Cct5	RpS16
Cct5	RpL12
Cct5	RpL13
Cct5	CG5642
Cct5	RpL18A
Cct5	RpS6
Cct5	sta
Cct5	RpL11
Cct5	Aats-ile
Cct5	pont
Cct5	Trip1
Cct5	RpS4
Cct5	Tango7
Cct5	eIF3-S9
Cct5	RpL3
Cct5	RpS2
Cct5	CG10576
Cct5	RpL4
Cct5	Hop
Cct5	Cctgamma
Cct5	Tcp-1eta
Cct5	T-cp1
Cct5	Tcp-1zeta
Cct5	CG7033
RpLP2	CG10576
RpLP2	bonsai
RpLP2	mRpS10
RpLP2	Srp72
RpLP2	Srp54k
RpLP2	Srp19
RpLP2	mago
RpLP2	eIF3-S8
RpLP2	eIF3-S10
RpLP2	CG5642
RpLP2	Rbp2
RpLP2	Tango7
RpLP2	eIF3-S9
RpLP2	eIF-3p66
RpLP2	Nacalpha
RpLP2	RpS15Aa
RpLP2	CG9769
RpLP2	Trip1
RpLP2	Tctp
RpLP2	RpS10a
RpLP2	RpS10b
RpLP2	RpS27
RpLP2	RpS3
RpLP2	RpS13
RpLP2	RpS18
RpLP2	RpL4
RpLP2	RpS7
RpLP2	RpL13
RpLP2	RpS23
RpLP2	RpL10Ab
RpLP2	RpS15Ab
RpLP2	RpS6
RpLP2	RpS14a
RpLP2	RpS2
RpLP2	RpL3
RpLP2	RpL12
RpLP2	RpL18A
RpLP2	RpL11
RpLP2	RpS11
RpLP2	sta
RpLP2	RpS16
RpLP2	RpS17
RpLP2	RpS12
RpLP2	RpS4
RpS23	CG7033
RpS23	vig
RpS23	eEF1delta
RpS23	bonsai
RpS23	mRpS10
RpS23	Srp72
RpS23	mago
RpS23	CG5642
RpS23	mRpL12
RpS23	mRpS9
RpS23	Tctp
RpS23	eIF3-S9
RpS23	eIF3-S8
RpS23	eIF3-S10
RpS23	CG9769
RpS23	Trip1
RpS23	Srp19
RpS23	Srp54k
RpS23	RpS16
RpS23	RpS27
RpS23	RpL18A
RpS23	RpS10b
RpS23	RpS15Aa
RpS23	RpS12
RpS23	RpS3
RpS23	RpS18
RpS23	RpS14a
RpS23	RpL11
RpS23	RpL3
RpS23	RpS2
RpS23	sta
RpS23	RpS6
RpS23	RpL10Ab
RpS23	RpL12
RpS23	RpL13
RpS23	RpS17
RpS23	RpL4
RpS23	RpS4
RpS23	RpS10a
RpS23	RpS13
RpS14a	sta
Rack1	vig
Rack1	bel
Rack1	Prosalpha7
Rack1	Rpn6
Rack1	Rpn2
Rack1	eEF1delta
Rack1	Cctgamma
Rack1	Eno
Rack1	pAbp
Rack1	Nacalpha
Rack1	eIF3-S8
Rack1	CG10576
Rack1	CG9769
Rack1	ade3
Rack1	Dp1
Rack1	T-cp1
Rack1	Tcp-1zeta
Rack1	Srp54k
Rack1	Tcp-1eta
Rack1	Srp19
Rack1	CG8258
Rack1	CG7033
Rack1	Cct5
Rack1	mRpS5
Rack1	bonsai
Rack1	mRpS10
Rack1	eIF3-S10
Rack1	Tctp
Rack1	eIF3-S9
Rack1	eIF-2gamma
Rack1	Trip1
Rack1	RpS15Ab
Rack1	Tango7
Rack1	RpS15Aa
Rack1	RpS10a
Rack1	RpS14a
Rack1	RpS10b
Rack1	RpL10Ab
Rack1	RpS8
Rack1	RpL3
Rack1	RpS11
Rack1	RpS17
Rack1	RpS2
Rack1	RpS16
Rack1	RpS13
Rack1	RpS12
Rack1	RpS4
Rack1	RpS3A
Rack1	RpS3
Rack1	RpS18
Rack1	RpS23
Rack1	RpS6
Rack1	RpL12
Rack1	RpL13
Rack1	RpS27
Rack1	RpL11
Rack1	RpL18A
Rack1	RpL30
Rack1	RpS7
Rack1	RpLP2
Rack1	RpL4
Rack1	sta
RpL11	CG7033
RpL11	vig
RpL11	eEF1delta
RpL11	Tcp-1eta
RpL11	mago
RpL11	eIF3-S10
RpL11	CG10576
RpL11	CG5642
RpL11	bonsai
RpL11	mRpS10
RpL11	Srp72
RpL11	mRpS9
RpL11	Tctp
RpL11	mRpL12
RpL11	CG9769
RpL11	Srp19
RpL11	Srp54k
RpL11	Trip1
RpL11	RpS15Aa
RpL11	RpS13
RpL11	RpS18
RpL11	RpL3
RpL11	RpL12
RpL11	RpS10b
RpL11	RpS17
RpL11	RpL10Ab
RpL11	RpS10a
RpL11	RpL13
RpL11	RpS4
RpL11	RpS16
RpL11	RpS12
RpL11	RpS27
RpL11	RpS2
RpL11	RpS3
RpL11	RpS6
RpL11	RpS14a
RpL11	RpL4
RpL11	sta
Rpn12	Ubqn
Prosbeta7	Uba2
Prosbeta7	CG7033
Prosbeta7	Uch-L5
Prosbeta7	Rpt4R
Prosbeta7	Rpn5
Prosbeta7	Rpt6
Prosbeta7	Rpn12
RpS13	CG10576
RpS13	CG7033
RpS13	mRpL12
RpS13	ade3
RpS13	mago
RpS13	CG5642
RpS13	eIF3-S10
RpS13	CG9769
RpS13	Srp19
RpS13	Srp54k
RpS13	Trip1
RpS13	RpL10Ab
RpS13	RpS15Aa
RpS13	RpS12
RpS13	RpS17
RpS13	RpL12
RpS13	RpS10b
RpS13	sta
RpS13	RpS16
RpS13	RpS4
RpS13	RpS6
RpS13	RpS14a
RpL18A	Tcp-1zeta
RpL18A	vig
RpL18A	CG7033
RpL18A	eEF1delta
RpL18A	Tcp-1eta
RpL18A	ade3
RpL18A	mRpS10
RpL18A	mago
RpL18A	bonsai
RpL18A	CG10576
RpL18A	CG5642
RpL18A	eIF3-S8
RpL18A	eIF3-S10
RpL18A	Srp72
RpL18A	eIF3-S9
RpL18A	Tctp
RpL18A	Srp19
RpL18A	CG9769
RpL18A	Srp54k
RpL18A	Trip1
RpL18A	RpS15Aa
RpL18A	RpS14a
RpL18A	sta
RpL18A	RpL10Ab
RpL18A	RpS2
RpL18A	RpL3
RpL18A	RpS17
RpL18A	RpL4
RpL18A	RpL13
RpL18A	RpS4
RpL18A	RpL11
RpL18A	RpS10a
RpL18A	RpS6
RpL18A	RpL12
RpL18A	RpS18
RpL18A	RpS16
RpL18A	RpS12
RpL18A	RpS27
RpL18A	RpS10b
RpL18A	RpS3
RpL18A	RpS13
RpS4	Tcp-1zeta
RpS4	CG7033
RpS4	mago
RpS4	bonsai
RpS4	RpS15Aa
RpS4	RpL12
RpS4	sta
RpS4	RpS10b
RpS4	RpS14a
RpS4	RpS16
RpS4	RpS6
RpS4	RpS12
RpL4	vig
RpL4	bonsai
RpL4	Cctgamma
RpL4	mRpS10
RpL4	Tcp-1eta
RpL4	Tctp
RpL4	T-cp1
RpL4	CG7033
RpL4	Tcp-1zeta
RpL4	ade3
RpL4	mRpS9
RpL4	mRpL12
RpL4	Srp72
RpL4	mago
RpL4	Srp19
RpL4	CG5642
RpL4	CG10576
RpL4	Srp54k
RpL4	CG9769
RpL4	eIF3-S10
RpL4	RpS15Aa
RpL4	RpS10a
RpL4	RpL10Ab
RpL4	Trip1
RpL4	RpS16
RpL4	RpS6
RpL4	RpS12
RpL4	RpS14a
RpL4	RpS2
RpL4	RpL12
RpL4	RpS27
RpL4	sta
RpL4	RpS13
RpL4	RpS10b
RpL4	RpS3
RpL4	RpS17
RpL4	RpL13
RpL4	RpL3
RpL4	RpS4
