Source	Target
P0DTC5	O60762
P0DTC5	Q9H936
P0DTC5	O00231
P0DTC5	Q9ULX6
P0DTC5	Q9UHI6
P0DTC5	Q7Z4H7
P0DTC5	Q96EY1
P0DTC5	Q00325
P0DTC5	Q15008
P0DTC5	O14818
P0DTC5	P40939
P0DTC5	P50402
P0DTC5	Q5H9R7
P0DTC5	O95757
P0DTC5	P57678
P0DTC5	P31689
P0DTC5	O15027
P0DTC5	P60900
P0DTC5	P25705
P0DTC5	P51665
P0DTC5	P62191
P0DTC5	P06576
P0DTC5	Q14257
P0DTC5	Q99615
P0DTC5	O95816
P0DTC5	O95071
P0DTC5	P46379
P0DTC5	O75746
P0DTC5	Q9Y5A9
P0DTC5	Q13200
P0DTC5	P53618
P0DTC5	Q9NZ01
P0DTC5	P35998
P0DTC5	Q16891
P0DTC5	O60884
P0DTC5	O43852
P0DTC5	Q99460
P0DTC5	Q9NTJ3
P0DTC5	P53621
P0DTC5	P55786
P0DTC5	Q15293
P0DTC5	P34932
P0DTC5	Q9UBF2
P0DTC5	O43592
P0DTC5	P35606
P0DTC5	P05023
P0DTC5	O95347
P0DTC5	P16615
P0DTC5	O14980
P0DTC5	Q96CS3
P0DTC5	Q9P035
P0DTC9	P09622
P0DTC9	P08621
P0DTC9	P38159
P0DTC9	Q13151
P0DTC9	Q9UN86
P0DTC9	Q13283
P0DTC9	Q9UM54
P0DTC3	P40939
P0DTC3	Q14257
P0DTC3	P22314
P0DTC3	P04406
P0DTC3	P57088
P0DTC3	Q8IXB1
P0DTC3	Q00325
P0DTC3	P31689
P0DTC3	P25705
P0DTC3	O43852
P0DTC3	O95757
P0DTC3	P46379
P0DTC3	P53621
P0DTC3	Q9H936
P0DTC3	O60884
P0DTC3	P26599
P0DTC3	O75746
P0DTC3	P11586
P0DTC3	Q9NZ01
P0DTC3	P53007
P0DTC3	P05023
P0DTC3	Q96CS3
P0DTC3	O43592
P0DTC3	O95347
P0DTC3	P16615
P0DTC3	Q16891
P0DTC3	O14980
P0DTC3	Q9P035
P0DTC6	Q5SW79
P0DTC6	P25705
P0DTC6	Q92552
P0DTC6	P06576
P0DTC6	P15924
P0DTC6	P53396
P0DTC6	P16615
P0DTC6	Q5T9A4
P0DTC6	P05023
P0DTC6	O75592
P0DTC6	O75934
P0DTC6	O14980
P0DTC6	Q96CS3
P0DTC6	P78406
P0DTC6	Q9NVI7
P0DTC6	P33176
P0DTC6	Q13561
P0DTC6	Q6P2E9
P0DTC7	P30153
P0DTC7	P06576
P0DTC7	P40939
P0DTC7	Q8IXB1
P0DTC7	Q9UHI6
P0DTC7	O95816
P0DTC7	P53007
P0DTC7	Q96EY1
P0DTC7	P50402
P0DTC7	O43852
P0DTC7	Q9H936
P0DTC7	P62195
P0DTC7	P30876
P0DTC7	Q99615
P0DTC7	P55786
P0DTC7	P57678
P0DTC7	Q00325
P0DTC7	O75746
P0DTC7	O15027
P0DTC7	P34932
P0DTC7	Q15008
P0DTC7	Q9UNM6
P0DTC7	O95071
P0DTC7	O60884
P0DTC7	P62191
P0DTC7	P05023
P0DTC7	P51665
P0DTC7	P53618
P0DTC7	Q9NZ01
P0DTC7	P35998
P0DTC7	Q13200
P0DTC7	P53621
P0DTC7	Q5H9R7
P0DTC7	P16615
P0DTC7	Q99460
P0DTC7	O43592
P0DTC7	Q9NXS2
P0DTC7	P46379
P0DTC7	Q16891
P0DTC7	O95347
P0DTC7	P35606
P0DTC7	Q9UBF2
P0DTC7	Q9P035
P0DTC7	O14980
P0DTC7	Q96CS3
P0DTD8	Q14257
P0DTD8	O60762
P0DTD8	O43852
P0DTD8	P25705
P0DTD8	P31689
P0DTD8	P06576
P0DTD8	Q8WTT2
P0DTD8	Q7KZF4
P0DTD8	Q9NVI7
P0DTD8	P05023
P0DTD8	P55786
P0DTD8	Q00325
P0DTD8	P53618
P0DTD8	P57088
P0DTD8	O43592
P0DTD8	O95347
P0DTD8	Q9NZ01
P0DTD8	Q16891
P0DTD8	P16615
P0DTD8	P53621
P0DTD8	Q9NXS2
P0DTD8	Q96CS3
P0DTD8	Q02978
P0DTD8	P35606
P0DTD8	Q9UBF2
P0DTD8	Q9P035
P0DTD8	O14980
P0DTD8	P10155
P0DTC8	Q14152
P0DTC8	P50402
P0DTC8	Q9UHI6
P0DTC8	P06576
P0DTC8	P62195
P0DTC8	P25705
P0DTC8	P40939
P0DTC8	Q5JWF2
P0DTC8	O14818
P0DTC8	P55786
P0DTC8	P57678
P0DTC8	O43852
P0DTC8	Q12789
P0DTC8	Q9H936
P0DTC8	P31689
P0DTC8	Q15008
P0DTC8	Q9UNM6
P0DTC8	Q00325
P0DTC8	O15027
P0DTC8	P30876
P0DTC8	Q7KZF4
P0DTC8	Q9NVI7
P0DTC8	O60884
P0DTC8	Q13200
P0DTC8	P05023
P0DTC8	O95071
P0DTC8	P35998
P0DTC8	O43592
P0DTC8	Q02978
P0DTC8	Q9NZ01
P0DTC8	P53618
P0DTC8	Q99460
P0DTC8	O75746
P0DTC8	P16615
P0DTC8	P53621
P0DTC8	Q16891
P0DTC8	O95347
P0DTC8	O14980
P0DTC8	Q9P035
P0DTC8	Q9UBF2
P0DTC8	P46379
P0DTD2	P19105
P0DTD2	Q14315
P0DTD2	P62140
P0DTD2	P0DP23
P0DTD2	P09622
P0DTD2	P52907
P0DTD2	P60660
P0DTD2	Q9NYL9
P0DTD2	P13797
P0DTD2	Q9UM54
P0DTD2	Q9ULV4
P0DTD2	P59998
P0DTD3	Q9BUQ8
P0DTD3	Q96N67
P0DTD3	Q15365
P0DTD3	P17987
P0DTD3	O00231
P0DTD3	Q14257
P0DTD3	Q16576
P0DTD3	P62269
P0DTD3	Q58FF8
P0DTD3	P27348
P0DTD3	P40227
P0DTD3	P63244
P0DTD3	P49368
P0DTD3	Q9Y265
P0DTD3	P07355
P0DTD3	P46379
P0DTD3	P48643
P0DTD3	Q99832
P0DTD3	Q9UHI6
P0DTD3	P31948
P0DTD3	Q3ZCQ8
P0DTD3	Q9NVI7
P0DTD3	P46782
P0DTD3	P25205
P0DTD3	P30153
P0DTD3	Q9ULX6
P0DTD3	P42677
P0DTD3	P61158
P0DTD3	P09874
P0DTD3	P50402
P0DTD3	P30876
P0DTD3	Q9NXS2
P0DTD3	P40939
P0DTD3	P06493
P0DTD3	P51570
P0DTD3	Q7Z4H7
P0DTD3	P57088
P0DTD3	Q14739
P0DTD3	P10155
P0DTD3	Q9UM54
P0DTD3	P04406
P0DTD3	Q9H936
P0DTD3	P11586
P0DTD3	Q9UBX3
P0DTD3	Q5H9R7
P0DTD3	P53618
P0DTD3	P53007
P0DTD3	P12004
P0DTD3	P05023
P0DTD3	Q16891
P0DTD3	Q9NZ01
P0DTD3	O14980
P0DTD3	O95347
P0DTD3	Q9NTJ3
P0DTD3	P53621
P0DTD3	P16615
P0DTD3	O43592
P0DTD3	Q9UBF2
P0DTD3	P35606
P0DTD3	Q9P035
P59594	P35247
P52294	P52630
P52294	P42224
P52292	Q14974
P52294	P42224
P52294	Q14974
P52292	Q14974
P52294	P42224
P52292	Q14974
P52292	Q14974
Q99623	P35232
Q99623	P35232
O35129	P67778
O35129	Q9JIA7
O35129	P67778
O35129	P19783
O35129	P00397
O35129	P67778
P00405	P19783
P00405	P12787
P00405	P19536
P00405	Q9CPQ1
P00405	P56391
P00405	P56392
P59595	P59595
P12904	P06782
P59595	P59595
P33469	P13010
P33469	P39019
P33469	P61254
P33469	P16402
P33469	P09651
P33469	P67809
P33469	P0DMV8
P33469	P11940
P33469	P12956
P33469	Q00839
P33469	P19338
P33469	P67809
P33469	P12956
P33469	Q00839
P33469	P19338
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
P59595	P59595
K0BWD0	P05161
P05161	K0BWD0
K0BWD0	P05161
K0BWD0	P05161
R9QB93	K0BWD0
O43765	P59635
O43765	P59635
P59635	P59596
P59635	P59637
Q5MAG3	P59635
O43765	P59635
P59595	P59596
P0DTC2	P35613
P0DTC2	P35613
P0DTC2	P35613
P0DTC2	P35613
P0DTC2	P35613
P04135	F1S215
P04135	F1RNN5
P04135	A6M930
P04135	A6M930
P04135	A6M930
P04135	A6M930
Q9BYF1	P0DTC2
Q9BYF1	P59594
Q9BYF1	P0DTC2
Q9BYF1	P59594
X2G6C4	X2G6C4
X2G6C4	X2G6C4
P0DTC2	P0DTC2
Q9BYF1	P0DTC2
Q9BYF1	P59594
Q9BYF1	P0DTC2
Q9BYF1	P0DTC2
P0DTC2	P0DTC2
Q53F19	P56270
Q53F19	Q14011
Q53F19	Q8N0Z6
Q53F19	Q8N8U2
Q53F19	P35052
Q53F19	O95373
Q53F19	Q9UH99
Q53F19	Q8NEM0
Q53F19	Q32M45
Q53F19	Q6L8Q7
Q53F19	Q6PJT7
Q53F19	Q02224
Q53F19	P31150
Q53F19	Q5DJT8
Q53F19	Q9UER7
Q53F19	P48668
Q53F19	O75940
Q53F19	J3QSV6
Q53F19	O95619
Q53F19	Q7L590
Q53F19	Q96GX9
Q53F19	Q6IEG0
Q53F19	Q9BY42
Q53F19	P61326
Q53F19	Q96IZ7
Q53F19	Q8TF76
Q53F19	O00148
Q53F19	P49756
Q53F19	Q10589
Q53F19	P31431
Q53F19	P34741
Q53F19	P83916
Q53F19	P63104
Q53F19	O75400
Q53F19	Q8TDD1
Q53F19	P09603
Q53F19	Q86WX3
Q53F19	Q00403
Q53F19	Q13352
Q53F19	Q13011
Q53F19	Q9BRP8
Q53F19	Q9BSM1
Q53F19	Q6SPF0
Q53F19	O60684
Q53F19	Q16630
Q53F19	P55198
Q53F19	P78563
Q53F19	O00422
Q53F19	Q9ULL5
Q53F19	P52298
Q53F19	Q09161
Q53F19	Q9BXP5
Q53F19	Q96PV6
Q53F19	Q9UHI6
Q53F19	Q9UKV3
Q53F19	Q86U42
Q53F19	Q13155
Q53F19	P34897
Q53F19	Q9UKS6
Q53F19	O14950
Q53F19	P53582
Q53F19	P20700
Q53F19	P68400
Q53F19	Q5JVF3
Q53F19	P19784
Q53F19	O00629
Q53F19	P68036
Q53F19	Q96A72
Q53F19	Q9Y5S9
Q53F19	P15692
Q53F19	P35637
Q53F19	Q00688
Q53F19	P98179
Q53F19	Q9P289
Q53F19	O00505
Q53F19	Q96K17
Q53F19	Q9H307
Q53F19	Q96J01
Q53F19	Q8NI27
Q53F19	Q13769
Q53F19	Q13838
Q53F19	Q86W42
Q53F19	Q96FV9
Q53F19	P38919
Q53F19	Q6I9Y2
Q53F19	P51148
Q53F19	P50395
P52298	Q9UH99
P52298	P04003
P52298	Q8N0X7
P52298	K7ELV2
P52298	P14735
P52298	Q5VV67
P52298	P31150
P52298	Q5DJT8
P52298	P52294
P52298	P09603
P52298	P53007
P52298	Q9NWV8
P52298	Q8N5P1
P52298	Q9ULL5
P52298	O94762
P52298	P39880
P52298	Q8IXH7
P52298	Q9H3P2
P52298	Q6NZY4
P52298	Q8WX92
P52298	Q9Y580
P52298	Q86VM9
P52298	Q9H814
P52298	P18615
P52298	Q09161
P52298	Q9BXP5
P52298	Q9UHI6
P52298	Q8NC51
P52298	O75822
P52298	Q9P289
P52298	O00505
P52298	P51148
P52298	P50395
P52298	P61927
P52298	O00505
P52298	Q13769
P52298	Q9H814
P52298	Q09161
P52298	Q9BXP5
P52298	P38919
Q53F19	O00505
Q53F19	Q13769
Q53F19	Q9H814
Q53F19	P38919
Q53F19	Q09161
Q53F19	Q9BXP5
Q09161	Q53F19
P33724	P59632
P33724	P59632
P33724	P59632
P33724	P59632
P59632	P33724
P0DTC4	P0DTC4
P0DTC9	P0DTC4
P0DTC3	P0DTC4
P0DTD2	P0DTC4
P0DTC9	P0DTC9
P0DTD2	P0DTD2
Q14160	B7Z2Y1
Q14160	Q14155
Q14160	Q7Z628
P22460	Q14160
Q96DN2	Q14160
O00429	Q14160
Q99569	Q14160
Q96DL1	Q14160
B7Z2Y1	Q14160
Q14155	Q14160
Q9UQB3	Q14160
Q9BR11	Q14160
Q96DL1	Q14160
Q14155	Q14160
B7Z2Y1	Q14160
Q9ULI0	Q14160
P25100	Q14160
P53778	Q14160
Q9NYB5	Q14160
Q15311	Q14160
P33402	Q14160
Q9P0K1	Q14160
Q92953	Q14160
O15439	Q14160
P35222	Q14160
P48065	Q14160
Q14160	P08581
P22460	Q14160
O00429	Q14160
Q14160	Q6UY11
Q14160	Q9ULJ7
Q14160	A6NIM6
P81408	Q14160
Q9NQG5	Q14160
Q6UXZ0	Q14160
Q92502	Q14160
Q8TA94	Q14160
Q9Y6R1	Q14160
Q9Y466	Q14160
Q8TBB1	Q14160
P22460	Q12959
Q9UQB3	Q12959
Q12959	Q96DL1
Q12959	Q15311
Q12959	Q96A65
Q6ZTQ3	Q12959
Q12959	Q14CM0
Q12959	Q9NYB5
Q12959	Q14524
Q12959	Q13224
Q12959	P85299
Q12959	Q9NVW2
Q12959	Q99569
Q12959	Q6DN90
Q12959	Q86W11
Q12959	A1L4L8
Q12959	Q15303
Q12959	Q96GG9
Q96GL9	Q12959
Q86UD3	Q12959
O60333	Q12959
A1A5B4	Q12959
Q7Z628	Q12959
P0C2L3	Q12959
Q9NS75	Q12959
Q96SF7	Q12959
B7Z2Y1	Q12959
Q9NS75	Q12959
Q9P021	Q12959
Q7Z628	Q12959
Q99569	Q96NW7
Q9UQB3	Q96NW7
Q9UQB3	Q96RT1
Q99569	Q96RT1
O00192	Q96RT1
Q9BY21	Q96RT1
Q96DL1	Q96RT1
Q8NHY3	Q96RT1
P50804	Q12959
P24835	Q12959
P50804	Q12959
P24835	Q12959
P27228	Q12959
Q06093	Q12959
P06463	Q12959
P21735	Q12959
P30911	Q12959
P06427	Q12959
P0C213	Q12959
P03126	Q12959
P27962	Q12959
P54667	Q12959
P54667	Q12959
P09708	Q12959
P17386	Q12959
P36807	Q12959
P26554	Q12959
Q0A442	Q12959
P30910	Q12959
P26555	Q12959
P16717	Q12959
P50804	Q12959
P24835	Q12959
P21735	Q12959
P06427	Q12959
P27228	Q12959
P09708	Q12959
A3EX99	Q96RT1
A3EXD5	Q96RT1
P06427	Q96RT1
Q9IDV3	Q96RT1
Q1A244	Q96RT1
P03126	Q96RT1
P50804	Q96RT1
P0C9G5	Q96RT1
A3EXD4	Q96RT1
P89432	Q96RT1
P0C213	Q96RT1
Q14160	P06427
Q14160	P03126
Q14160	P17589
P0C213	Q14160
Q14160	P0C222
P06427	Q14160
P03126	Q14160
P0C213	Q14160
P27228	Q14160
P24835	Q14160
P04299	Q14160
P16717	Q14160
P50804	Q14160
P21735	Q14160
P0C222	Q14160
P03333	Q14160
Q09SZ7	Q14160
Q08089	Q14160
Q18LE1	Q96RT1
Q14500	Q14160
P48050	Q14160
P12814	Q14160
P35609	Q14160
Q08043	Q14160
O43707	Q14160
Q8IWK6	Q12959
Q86SQ6	Q12959
Q96PE1	Q12959
P22459	Q12959
Q14500	Q12959
Q14155	Q14160
P33402	Q14160
P53778	Q14160
Q99569	Q14160
Q99569	Q14160
Q14155	Q14160
P53778	Q14160
P33402	Q14160
P35222	Q14160
P59595	P63165
P59595	P63165
P59595	P59595
P59595	P09651
P59595	P09651
P59595	P09651
P0C6X7	O75348
P0C6X7	O75348
P0C6X7	O75348
P0C6X7	P0C6X7
P0C6X7	O75348
P0C6X7	O75348
